model_name,parameter,estimate,std_err,lci,uci
Model 22.1.a,process_error,0.21384065372384262,0.045013390471381,0.1415508937415046,0.3230486503924656
Model 22.1.a,process_error,0.18783220318544677,0.02857459398241212,0.13940495412913134,0.25308237267391587
Model 22.1.a,process_error,0.3588400363621639,0.05589094928513225,0.2644371232933418,0.4869443824404259
Model 22.1.a,scaling_parameter_q,0.6029115246778894,0.014537183154256764,0.5750819329733791,0.6320878569597561
Model 22.1.b,process_error,0.2141811465113074,0.043240217355666966,0.1441900842908459,0.31814645054486923
Model 22.1.b,process_error,0.19207258994423876,0.028763971493489072,0.14321650840973432,0.2575951628588941
Model 22.1.b,process_error,0.3578372874474603,0.0541125769962405,0.2660516097229318,0.4812882899716562
Model 22.1.b,scaling_parameter_q,0.595362355716411,0.014028782373351416,0.5684917133615537,0.623503080648714
Model 22.2.a,process_error,0.14505521062178278,0.04104917634109778,0.0833013032216179,0.25258925508705987
Model 22.2.a,process_error,0.1802752474666775,0.02860419941372161,0.13209193477556103,0.24603443733632588
Model 22.2.a,process_error,0.2694863953560241,0.056989079539868044,0.17804539886230963,0.40788988508569013
Model 22.2.a,scaling_parameter_q,0.604814507821623,0.021372519105277567,0.564342847863562,0.6481885794359348
Model 22.2.a,extra_biomass_cv,0.22440853167728256,0.03949322019062497,0.15743716875839825,0.31322205346794796
Model 22.2.b,process_error,0.15035315865206486,0.0319410415102112,0.09914782855185228,0.22800370564677047
Model 22.2.b,process_error,0.14660596726756106,0.024641325750268853,0.10545881422453308,0.20380761718689186
Model 22.2.b,process_error,0.31797023280276404,0.05466310522036566,0.22701478990480123,0.4453677621226459
Model 22.2.b,scaling_parameter_q,0.6015267929034047,0.017784280638667098,0.5676609283020273,0.637413048072492
Model 22.2.b,extra_cpue_cv,0.15059031100400969,0.025486612977483426,0.10747742545457034,0.20840897612577566
Model 22.2.c,process_error,0.08241077367441783,0.031085049000614495,0.039347198336406285,0.17260531638239163
Model 22.2.c,process_error,0.13049249678981711,0.02783925326473076,0.08589943513345584,0.19823520017314186
Model 22.2.c,process_error,0.19302542735902564,0.0979982890667794,0.07136128733844707,0.5221152391832019
Model 22.2.c,scaling_parameter_q,0.6164664870452065,0.025785793176924535,0.5679434460245361,0.6691351618017257
Model 22.2.c,extra_biomass_cv,0.2293894885867624,0.059033221113532465,0.13578179254141803,0.3700264186086316
Model 22.2.c,extra_cpue_cv,0.13579626217722082,0.025509591449953246,0.09340315057906773,0.19476619888584845
Model 22.3,process_error,0.1713295861292546,0.03361082256391474,0.11663978372019532,0.2516622214735749
Model 22.3,process_error,0.1445424392204704,0.025759121585665987,0.10192987581740114,0.20496951034484312
Model 22.3,process_error,0.30161549771667545,0.055048306287523274,0.21091115788360096,0.4313280974593295
